Año,Defunciones,Tasa Bruta,Tasa Ajustada
1970,30574,7.0,8.0
1975,28977,6.1,6.7
1980,31787,6.4,6.5
1985,36234,7.1,6.8
1990,40443,7.6,6.6
1995,43233,7.8,6.5
1996,43670,7.9,6.6
1997,42673,7.7,6.4
1998,42867,7.7,6.1
1999,43804,7.9,6.2
2000,42057,7.5,6.0
2001,43048,7.7,5.8
2002,40478,7.2,5.5
2003,42302,7.5,5.4
2004,43924,7.8,5.6
2005,45878,8.1,5.7
2006,43875,7.8,5.3
2007,44033,7.8,5.3
2008,46271,8.2,5.5
2009,46626,8.3,5.4
2010,49080,8.7,5.4
2011,46554,8.3,5.1
2012,48348,8.6,5.3
2013,49706,8.9,5.4
2014,51918,9.3,5.6
2015,53812,9.6,5.6
2016,54284,9.7,5.6
2017,58283,10.4,5.6
2018,57931,10.3,5.5
2019,59638,10.7,5.6
2020,61546,11.1,5.9
2021,92014,16.8,8.4
2022,64256,12.2,6.1
2023,64090,12.7,6.1
