Provincia,<7días,7-27días,28díasa11meses,<1año,1-4años,5-14años,15-18años,19-59años,60-74años,75añosymás,Total*
Pinar del Río,0.6,0.4,2.1,3.1,0.1,0.2,0.4,2.8,20.1,85.5,11.5
Artemisa,1.8,0.9,1.2,3.9,0.3,0.3,0.6,2.9,20.4,86.8,10.2
La Habana,2.5,2.7,2.7,7.9,0.5,0.3,0.4,3.8,21.7,92.5,13.5
Mayabeque,2.1,2.1,4.9,9.1,0.3,0.2,0.5,3.0,20.6,87.3,11.5
Matanzas,2.1,2.1,2.7,6.9,0.3,0.2,0.6,3.0,20.7,81.7,11.3
Villa Clara,1.1,1.7,3.0,5.7,0.2,0.2,0.6,3.1,19.4,79.1,12.8
Cienfuegos,2.1,3.5,2.8,8.3,0.3,0.2,0.6,3.0,20.3,85.3,11.6
Sancti Spíritus,1.0,1.0,2.9,4.8,0.5,0.2,0.3,2.9,19.7,81.9,11.7
Ciego de Ávila,1.5,3.1,2.8,7.5,0.4,0.2,0.5,3.2,21.5,85.3,11.1
Camagüey,2.7,2.8,5.3,10.8,0.5,0.2,0.5,3.2,20.9,88.8,12.1
Las Tunas,3.8,1.7,1.9,7.4,0.3,0.2,0.3,3.1,20.0,82.8,11.0
Holguín,1.6,0.8,2.4,4.7,0.2,0.2,0.4,2.8,18.4,77.3,10.4
Granma,2.4,2.4,2.6,7.4,0.4,0.3,0.5,2.9,18.8,79.6,10.0
Santiago de Cuba,2.4,2.2,3.4,8.0,0.5,0.2,0.5,3.4,21.2,86.2,11.0
Guantánamo,3.1,2.6,3.3,9.0,0.6,0.2,0.5,2.5,18.3,74.2,9.0
Isla de la Juventud,-,0.5,4.7,9.3,0.3,0.2,-,2.7,22.3,86.1,10.3
Total,2.1,2.0,2.9,7.1,0.4,0.2,0.5,3.1,20.3,84.5,11.5
