Provincia,2000,2005,2020,2021,2022,2023
Pinar del Río,8.0,7.5,4.2,11.1,7.7,3.7
Artemisa,10.3,8.3,5.8,6.1,8.9,5.3
La Habana,9.5,8.1,7.0,10.0,12.0,10.7
Mayabeque,6.7,7.0,4.5,10.0,13.6,10.5
Matanzas,8.3,5.8,6.0,8.2,7.1,8.4
Villa Clara,7.1,5.0,5.3,8.7,8.4,6.9
Cienfuegos,7.9,8.6,5.1,7.2,5.0,9.7
Sancti Spíritus,7.7,8.7,3.4,5.4,5.6,7.0
Ciego de Ávila,11.2,7.4,7.1,14.7,8.1,9.0
Camagüey,8.4,10.6,7.6,8.0,12.1,12.8
Las Tunas,9.1,8.2,5.4,9.8,9.0,8.7
Holguín,9.0,5.7,4.8,6.8,6.1,5.7
Granma,10.0,9.0,7.9,9.0,8.7,8.9
Santiago de Cuba,10.0,9.2,7.6,11.7,12.2,10.1
Guantánamo,11.5,11.0,6.8,8.7,11.0,11.2
Isla de la Juventud,6.6,6.4,5.7,10.1,3.8,10.9
Total,9.1,8.0,6.2,9.2,9.5,8.8
