Provincia,2000,2005,2020,2021,2022,2023
Pinar del Río,6.0,5.7,3.7,9.6,5.9,3.1
Artemisa,8.5,5.9,5.1,3.9,5.4,3.9
La Habana,7.5,6.6,5.3,8.0,9.5,7.9
Mayabeque,5.3,5.1,3.5,7.7,12.2,9.1
Matanzas,6.4,4.0,5.2,7.1,5.0,6.9
Villa Clara,5.0,4.2,3.7,7.4,7.3,5.7
Cienfuegos,5.4,7.0,4.3,6.0,4.3,8.3
Sancti Spíritus,6.2,7.9,3.4,4.5,4.7,4.8
Ciego de Ávila,8.1,5.1,6.1,13.6,6.2,7.5
Camagüey,7.0,8.0,5.2,6.1,9.1,10.8
Las Tunas,7.0,6.4,3.8,8.7,7.0,7.4
Holguín,7.3,4.5,3.4,6.3,4.5,4.7
Granma,8.2,6.6,6.8,7.4,6.6,7.4
Santiago de Cuba,8.7,7.2,6.2,9.3,9.9,8.0
Guantánamo,9.1,8.0,4.9,7.4,9.7,9.0
Isla de la Juventud,4.9,3.7,5.7,7.6,2.6,9.3
Total,7.2,6.2,4.9,7.6,7.5,7.1
