Año,Defunciones,Tasa Bruta,Tasa Ajustada
1970,53 761,6.3,7.2
1975,50 961,5.5,6.1
1980,55 801,5.7,5.8
1985,64 430,6.4,6.1
1990,72 144,6.8,5.8
1995,77 937,7.1,5.6
1996,79 662,7.2,5.7
1997,77 316,7.0,5.5
1998,77 565,7.0,5.3
1999,79 499,7.1,5.4
2000,76 463,6.8,5.1
2001,79 395,7.1,5.0
2002,73 883,6.6,4.7
2003,78 434,7.0,4.7
2004,81 110,7.2,4.8
2005,84 824,7.5,4.8
2006,80 831,7.2,4.5
2007,81 927,7.3,4.5
2008,86 423,7.7,4.6
2009,86 940,7.7,4.6
2010,91 065,8.1,4.6
2011,87 044,7.7,4.3
2012,89 372,7.9,4.5
2013,92 273,8.3,4.5
2014,96 330,8.6,4.7
2015,99 691,8.9,4.7
2016,99 388,8.8,4.6
2017,106 949,9.5,4.7
2018,106 196,9.4,4.6
2019,109 089,9.7,4.6
2020,112 449,10.0,4.9
2021,167 675,15.2,6.9
2022,120 108,11.3,5.1
2023,117 746,11.5,5.0

