Causas,<7días,7-27días,28díasa11meses,Total
Malformaciones congénitas del sistema circulatorio,0.1,0.1,0.2,0.4
Malformaciones congénitas de las grandes arterias y venas,0.0,-,0.1,0.1
Malformaciones congénitas de las cámaras cardíacas y susconexiones,0.0,0.0,0.1,0.1
Malformaciones congénitas de los tabiques cardíacos,0.0,0.0,0.1,0.1
Malformación congénita del corazón no especificada,-,0.0,0.0,0.1
Malformaciones congénitas del sistema digestivo,0.0,0.0,0.1,0.1
Malformaciones congénitas del esófago,0.0,-,0.0,0.1
Ausencia atresia y estenosis congénita del intestino,-,-,0.0,0.0
Malformaciones y deformidades congénitas del sistema osteomuscular,0.0,0.0,0.0,0.1
Hernia diafragmática congénita,0.0,0.0,-,0.1
Gastrosquisis,-,-,0.0,0.0
Malformaciones congénitas del sistema respiratorio,0.0,0.0,0.0,0.1
Malformaciones congénitas del sistema nervioso,-,-,0.0,0.0
Anomalías cromosómicas no especificadas en otra parte,-,-,0.0,0.0
Otras malformaciones congénitas,-,0.0,0.0,0.0
Total,0.2,0.1,0.4,0.7
