Provincia,Total-2022,Directa-2022,Indirecta-2022,Total-2023,Directa-2023,Indirecta-2023
Pinar del Río,40.5,20.3,20.3,20.7,20.7,null
Artemisa,21.6,21.6,null,46.2,46.2,null
La Habana,52.4,45.8,6.5,37.9,22.7,15.1
Mayabeque,33.1,null,33.1,null,null,null
Matanzas,null,null,null,38.3,38.3,null
Villa Clara,51.2,51.2,null,null,null,null
Cienfuegos,null,null,null,34.5,null,34.5
Sancti Spíritus,62.7,62.7,null,32.0,null,32.0
Ciego de Ávila,27.1,null,27.1,77.3,77.3,null
Camagüey,62.0,46.5,15.5,49.8,16.6,33.2
Las Tunas,61.5,20.5,41.0,21.2,21.2,null
Holguín,11.0,null,11.0,44.9,44.9,null
Granma,36.8,24.5,12.3,37.4,25.0,12.5
Santiago de Cuba,27.5,18.4,9.2,57.0,28.5,28.5
Guantánamo,113.0,64.6,48.4,51.7,17.2,34.5
Isla de la Juventud,null,null,null,null,null,null
