Año,Defunciones Directas,Tasa Directa,Defunciones Indirectas,Tasa Indirecta,Defunciones Total,Tasa Total
1987,61,34.0,27,15.0,88,49.0
1988,49,26.1,24,12.8,73,38.8
1989,54,29.2,16,8.7,70,37.9
1990,59,31.6,19,10.2,78,41.8
1991,63,36.2,17,9.8,80,46.0
1992,52,33.0,19,12.1,71,45.1
1993,41,26.9,15,9.9,56,36.8
1994,63,42.8,21,14.3,84,57.0
1995,48,32.6,22,14.9,70,47.6
1996,34,24.2,17,12.1,51,36.4
1997,33,21.6,26,17.0,59,38.6
1998,41,27.1,18,11.9,59,39.1
1999,46,30.5,20,13.3,66,43.8
2000,47,32.7,11,7.7,58,40.4
2001,41,29.6,6,4.3,47,33.9
2002,43,30.4,15,10.6,58,41.1
2003,48,35.1,6,4.4,54,39.5
2004,27,21.2,22,17.3,49,38.5
2005,43,35.6,19,15.7,62,51.4
2006,42,37.7,13,11.7,55,49.4
2007,25,22.2,10,8.9,35,31.1
2008,36,29.4,21,17.1,57,46.5
2009,39,30.0,22,16.9,61,46.9
2010,38,29.7,17,13.3,55,43.1
2011,42,31.6,12,9.0,54,40.6
2012,27,21.5,15,11.9,42,33.4
2013,27,21.4,22,17.5,49,38.9
2014,26,21.2,17,13.9,43,35.1
2015,29,23.2,23,18.4,52,41.6
2016,32,27.4,17,14.5,49,41.9
2017,25,21.7,20,17.4,45,39.1
2018,32,27.5,19,16.3,51,43.8
2019,26,23.7,15,13.7,41,37.4
2020,35,33.3,7,6.7,42,40.0
2021,45,45.4,130,131.2,175,176.6
2022,26,27.3,13,13.6,39,40.9
2023,23,25.4,12,13.3,35,38.7
