Provincia,Masculino-2022,Femenino-2022,Total-2022,Masculino-2023,Femenino-2023,Total-2023
Pinar del Río,12.8,5.1,8.9,10.0,1.5,5.8
Artemisa,21.6,3.7,12.6,19.9,4.6,12.3
La Habana,12.7,3.4,7.8,16.4,3.3,9.5
Mayabeque,17.5,6.6,12.1,14.9,0.6,7.8
Matanzas,14.8,3.8,9.3,18.3,6.1,12.1
Villa Clara,12.4,1.4,6.8,16.2,1.7,8.9
Cienfuegos,16.7,3.7,10.2,14.8,3.3,9.1
Sancti Spíritus,14.9,2.3,8.6,16.1,1.4,8.7
Ciego de Ávila,18.9,4.4,11.7,13.1,4.0,8.6
Camagüey,19.5,3.8,11.6,12.8,2.0,7.4
Las Tunas,10.4,2.0,6.2,12.4,1.2,6.8
Holguín,11.2,2.0,6.6,11.4,2.9,7.1
Granma,8.3,2.5,5.4,9.7,2.9,6.3
Santiago de Cuba,9.1,3.3,6.2,11.3,2.8,7.0
Guantánamo,15.5,2.0,8.7,12.9,4.1,8.5
Isla de la Juventud,5.0,2.5,3.7,7.7,7.8,7.7
