Provincia,Masculino-2022,Femenino-2022,Total-2022,Masculino-2023,Femenino-2023,Total-2023
Pinar del Río,36,14,50,27,4,31
Artemisa,53,9,62,47,11,58
La Habana,119,35,154,145,33,178
Mayabeque,32,12,44,26,1,27
Matanzas,50,13,63,59,20,79
Villa Clara,45,5,50,56,6,62
Cienfuegos,32,7,39,27,6,33
Sancti Spíritus,33,5,38,34,3,37
Ciego de Ávila,39,9,48,26,8,34
Camagüey,70,14,84,44,7,51
Las Tunas,27,5,32,31,3,34
Holguín,55,10,65,54,14,68
Granma,33,10,43,38,11,49
Santiago de Cuba,46,17,63,56,14,70
Guantánamo,38,5,43,31,10,41
Isla de la Juventud,2,1,3,3,3,6
