Causa,<20 años,20-39 años,40-59 años,60-79 años,80 años y más,Total*
Enfermedades isquémicas del corazón,0.1,2.0,29.4,314.2,2105.5,173.2
Enfermedad isquémica crónica del corazón,null,0.5,10.4,159.8,1338.1,99.0
Infarto agudo del miocardio,0.1,1.4,17.4,136.8,645.8,64.3
Otras enfermedades isquémicas agudas del corazón,null,0.1,1.5,17.1,117.9,9.5
Enfermedades hipertensivas,null,1.3,17.2,108.7,686.2,60.2
Insuficiencia cardíaca,0.1,0.2,3.0,35.2,248.1,19.9
Trastornos de la conducción y arritmias cardíacas,0.1,0.8,3.2,22.7,113.3,11.2
Cardiomiopatías,0.6,0.6,3.7,14.4,54.0,6.9
Valvulopatías no reumáticas,null,0.2,1.1,5.5,18.5,2.4
Enfermedades reumáticas crónicas del corazón,null,0.1,0.8,1.7,2.5,0.7
Otras formas de enfermedades del corazón,0.7,0.7,4.1,29.2,151.7,14.7
