Causa,<20 años,20-39 años,40-59 años,60-79 años,80 años y más,Total*
Enfermedades isquémicas del corazón (I20-I25),1,24,466,3370,5109,8973
Enfermedad isquémica crónica del corazón (I25),null,6,164,1714,3247,5132
Infarto agudo del miocardio (I21-I22),1,17,276,1467,1567,3330
Otras enfermedades isquémicas agudas del corazón (I24),null,1,24,183,286,494
Enfermedades hipertensivas (I10-I15),null,16,272,1166,1665,3119
Insuficiencia cardíaca (I50),1,2,47,378,602,1030
Trastornos de la conducción y arritmias cardíacas (I44-I45, I47-I49),1,10,50,243,275,580
Cardiomiopatías (I42),6,7,58,154,131,356
Valvulopatías no reumáticas (I34-I38),null,3,18,59,45,125
Enfermedades reumáticas crónicas del corazón (I05-I09),null,1,13,18,6,38
Otras formas de enfermedades del corazón (I26-I28, I30-I33, I39-I41, I43, I46, I51-I52),7,8,65,313,368,761
