Causa,<20 años,20-39 años,40-59 años,60-79 años,80 años y más,Total*
Enfermedades isquémicas del corazón (I20-I25),1,56,1186,4969,4160,10381
Enfermedad isquémica crónica del corazón (I25),null,10,394,2300,2505,5213
Infarto agudo del miocardio (I21-I22),1,44,736,2382,1403,4571
Otras enfermedades isquémicas agudas del corazón (I24),null,2,55,270,248,575
Enfermedades hipertensivas (I10-I15),1,26,431,1522,1282,3262
Insuficiencia cardíaca (I50),1,4,61,456,503,1,025
Cardiomiopatías (I42),11,19,190,346,158,724
Trastornos de la conducción y arritmias cardíacas (I44-I45, I47-I49),2,13,119,311,223,673
Valvulopatías no reumáticas (I34-I38),1,6,29,71,32,139
Enfermedades reumáticas crónicas del corazón (I05-I09),null,2,14,11,3,30
Otras formas de enfermedades del corazón (I26-I28, I30-I33, I39-I41, I43, I46, I51-I52),8,19,139,430,292,888
