Año,Defunciones,Tasa,% del total de Defunciones
1970,3886,45.4,7.2
1975,1576,17.0,3.1
1980,986,10.1,1.8
1985,1144,11.4,1.8
1990,1021,9.6,1.4
1995,1486,13.5,1.9
2000,745,6.6,1.0
2005,889,7.9,1.0
2006,812,7.2,1.0
2007,793,7.1,1.0
2008,766,6.8,0.9
2009,749,6.7,0.9
2010,895,8.0,1.0
2011,873,7.8,1.0
2012,988,8.8,1.1
2013,1128,10.1,1.2
2014,1202,10.8,1.2
2015,1072,9.6,1.1
2016,1088,9.7,1.1
2017,1063,9.5,1.0
2018,1084,9.6,1.0
2019,1091,9.7,1.0
2020,1048,9.4,0.9
2021,1228,11.1,0.7
2022,1281,12.0,1.1
2023,1036,10.1,0.9

